text,label
"Barocco (pt: Escândalo de 1ª página) é um filme francês dirigido por André Téchiné, estreado em 1976 e protagonizado por Gérard Depardieu e Isabelle Adjani.",por
"Association de recherche et de sauvegarde de l'histoire de Roissy-en-France (A.R.S.H.R.F.), Roissy-en-France 1900 / 2000, Mémoire d'un siècle, 2003 (voir dans la bibliographie)",fra
"Diante destes gerenciamentos, podendo ser feitos pela própria empresa (mais comum em média e grandes empresas) ou até mesmo por empresas terceiras especializadas em monitoramento de redes (NOC), é notável o ganho de agilidade e eficiência em prol dos objetivos da empresa.",por
"Besemer, S., Van der Geest, V., Murray, J., Bijleveld, C. C. J. H. and Farrington, D. P. (2011) The relationship between parental imprisonment and offspring offending in England and the Netherlands. British Journal of Criminology, 51, 413-437.",por
"En Navidad de 1974, poco después de que interpretó la canción en francés película Papillon (Toi qui Regarde la Mer). Ella cantará la espléndida versión de Gloria Aleluya para una misa de medianoche celebrada por RTL.",spa
"La chirurgie comprenant principalement l'ablation de la tumeur, la néphrectomie élargie (comprenant le plus souvent la surrénale et les ganglions situés à proximité)",fra
"Dès les années 1920, les communes voisines d'Arnouville, Goussainville et dans une moindre mesure Louvres, desservies par la ligne ferroviaire Paris-Lille connurent une expansion démographique spectaculaire avec la création de nombreux lotissements de banlieue. Roissy, demeurée à l'écart du chemin de fer et de l'industrialisation restait un village agricole et s'appauvrit progressivement. Le nombre de commerces passa de quatre-vingt-quatre en 1896 à seulement dix-huit en 1964. Le même phénomène se produisit dans de nombreux autres villages du Pays de France non desservis par une voie ferrée.",fra
"L'ufficio progettazione, sembra ormai certo, si trasferirà a Noale, mentre alla fine anno partono i lavori di ristrutturazione degli stabilimenti di via Parodi 57, con progetto e concessione edilizia già appese sull'esterno della fabbrica. L'operazione ha causato la messa in cassa integrazione di buona parte degli impiegati e il sorgere di numerose polemiche",ita
"Au 1er avril 2017, les services Asama sont actuellement effectués par des Shinkansen série E7 et W7. De 1997 à 2017, ils étaient également effectués par des Shinkansen série E2.",fra
L'alimentation industrielle convient parfaitement à la croissance du chiot et à l'adulte. L'alimentation ménagère nécessite un supplément en vitamines et en calcium.,fra
"De-a lungul vieții, Watson a fost interesat de relațiile internaționale, atât din perspectivă diplomatică, cât și din perspectivă economică. Era cunoscut drept emisar neoficial al lui Franklin D. Roosevelt în New York și primea frecvent vizita unor demnitari străini. În 1937, a fost ales președinte al Camerei Internaționale de Comerț (ICC) și la congresul bienal desfășurat la Berlin a afirmat că mottoul conferinței este Pace mondială prin comerț mondial. Aceste cuvinte au devenit sloganul ICC și IBM.",ron
Nel 2008 consolida la propria presenza nel mercato francese con l'acquisizione del ramo tissue di Novacare s.a. con lo stabilimento di Laval quasi interamente dedicato alla produzione di articoli per il mercato AFH (away from home).,ita
"Attirant dans ses clubs les meilleurs joueurs des deux hémisphères, monnayant des droits de diffusion TV avantageux, populaire auprès du public qui garnit les stades, le Top 14 est aujourd'hui considéré comme le championnat national de rugby le plus riche au monde.",fra
"Poço de Jacó está localizado a 76 metros de Tell Balata, na parte oriental da cidade de Nablus dentro do recinto do mosteiro de Bir Ya'qub. O poço é localizado na entrada da igreja nos terrenos do mosteiro, e descendo as escadas até a cripta onde o poço é conservado junto com ""um pequeno guincho, um balde, ícones de ex-votos e muitas velas acesas"". A tumba de José está localizado ao norte do poço de Jacó em um prédio da Era Otomana marcado por uma cúpula branca.",por
"En application du schéma départemental de coopération intercommunale, elle fusionne le 1er janvier 2017 avec la communauté de communes Bourbre-Tisserands, la communauté de communes de la Vallée de l'Hien et la communauté de communes Les Vallons du Guiers pour créer la Communauté de communes Les Vals du Dauphiné.",fra
"Katie nasceu e cresceu na cidade de Middlebury no condado de New Haven, estado de Connecticut. Seus pais são Clara e Mark Stevens. Katie ainda tem um irmão, chamado Ryan Stevens. Se formou na Pomperaug High School na cidade de Southbury, Connecticut em junho de 2010",por
"Segundo o censo de 2001, Jiribam tinha uma população de 6426 habitantes. Os indivíduos do sexo masculino constituem 49% da população e os do sexo feminino 51%. Jiribam tem uma taxa de literacia de 73%, superior à média nacional de 59.5%: a literacia no sexo masculino é de 80% e no sexo feminino é de 66%. Em Jiribam, 13% da população está abaixo dos 6 anos de idade.",por
"Candela Maza è una ragazza di 15 anni che è rimasta orfana insieme ai suoi fratelli Hosana e Facundo. Il giudice decise che i ragazzi devono andare a vivere insieme allo zio Juan Maza, un uomo ricco.",ita
