text,label
Les radars à pénétration de glace révèlent la structure des calottes polaires martiennes.,fra
Ne pourrions-nous acheter la corde avec laquelle on le pendra ?,fra
Le passage de l'obscurité à la lumière est immédiat.,fra
Quelle indécence !,fra
"Sur cette île déserte, je me sens tout seul au monde.",fra
Peut-être ta boucle d'oreille se trouve-t-elle sous la table.,fra
Georgetown est la capitale du Guyana.,fra
Je peux dire que ça a été dur pour toi.,fra
Tom se cachait.,fra
J'apprends quotidiennement le français après le dîner.,fra
Je pars à Chicago la semaine prochaine.,fra
Je ne peux imaginer ce que vous avez traversé.,fra
Il croque la vie à pleine dents.,fra
Ceci représente un risque pour votre santé.,fra
Fadil a quitté l'hôpital.,fra
Chien méchant !,fra
J'ai appelé chez moi.,fra
"Il se tenait là, l'air absent.",fra
Comprends-tu ce que je te dis ?,fra
Ils tentent d'inculquer le français à leur progéniture.,fra
Tout est en parfait état de fonctionnement.,fra
Vous vous comportez tous de la même manière.,fra
Je ne veux pas me faire couper les cheveux.,fra
Tom est probablement en train d'attendre.,fra
L'autrice a déjà écrit deux romans.,fra
Pourquoi ce bébé pleure-t-il ?,fra
Ça te dérange si je m'assois ici ?,fra
Kyoto est connu pour ses autels et ses temples.,fra
Je suis vieux.,fra
En espérant que ce soit le cas.,fra
Elle est allée acheter un hochet.,fra
Pourquoi voulez-vous sortir avec moi ?,fra
Les canons ne se turent que vers le soir.,fra
Êtes-vous sûr que vous ne voulez rien ?,fra
Les soldats sont affamés.,fra
Je ne savais pas que Beethoven parlait de sa surdité dans ses lettres.,fra
Elles ont tenté de s'échapper.,fra
De grosses quantités de bois sont employées dans la fabrication du papier.,fra
Elles ont chargé le camion.,fra
"Aussi longtemps que tu te tiens tranquille, tu peux, si tu veux, rester ici.",fra
"Attention, pas de panique ! Le courant sera rétabli dans quelques minutes.",fra
Elle a un caractère introverti.,fra
Je conduirai tous les jours.,fra
Tu vas prendre une tarte !,fra
C'est une information intéressante à savoir.,fra
Je n'ai plus beaucoup de temps à vivre.,fra
Le paladin portait un bouclier damasquiné.,fra
Vendredi nous avons une conférence de presse.,fra
Qu'est-ce qu'ils t'ont fait ?,fra
Je suis diligent.,fra
J'admets ta gentillesse.,fra
C’est elle ou moi.,fra
Elle viendra chez moi à Noël.,fra
Il a attrapé un essaim d'abeilles.,fra
Ziri est retourné à l'agence de Rima.,fra
Il est essentiel que vous fassiez cela.,fra
Tu as ta carte d'identité ?,fra
Ce n'est pas Joan. Tu t'es trompé.,fra
Alors c'est ainsi que tu me remercies pour tout ce que j'ai fait pour toi !,fra
"Pierre était devant lui, pâle, couvert de sang, les habits souillés et déchirés, la tête nue, les cheveux en désordre.",fra
Je n'ai jamais battu Tom aux échecs.,fra
Elles ne tinrent pas parole.,fra
J'apprends le polonais.,fra
Il vit toujours en ville.,fra
Quitterais-tu ton mari pour moi ?,fra
Je vous veux hors d'ici.,fra
Je ne suis pas pressée d'aller à Tichi.,fra
Ceux qui ne peuvent pas changer d'avis ne peuvent rien changer.,fra
Tom sera probablement parti d'ici à ce que nous arrivions.,fra
Il s'est empressé de boire un verre d’eau avant de parler.,fra
J'ai cassé mon bol préféré en le faisant tomber.,fra
Pourquoi Tom veut-il s'arrêter ?,fra
Tom enseigne le français aux enfants.,fra
Tom aime écrire des poèmes.,fra
"Tout le monde a raison à un moment ou un autre, mais peu de monde au bon moment.",fra
La personne à qui nous parlions est notre professeur.,fra
Tom est meilleur chanteur que Mary.,fra
Je l'ai vu la nuit dernière.,fra
Je ne suis pas sûre d'y être prête.,fra
Es-tu un Américain ou un Européen ?,fra
"Tout ce que je veux faire, c'est terminer ce que j'ai commencé.",fra
Pouvez-vous m’accompagner ?,fra
Pourquoi te dérobes-tu ?,fra
Qui vois-tu ?,fra
Quand avez-vous dit ça ?,fra
Le musée a une collection impressionnante de peintures.,fra
Yazid est un expert en informatique.,fra
Elles ont éteint la lumière.,fra
Soyons francs !,fra
"Lorsque je suis sorti de prison, je voulais raccommoder les choses avec ma femme.",fra
J'attendais mieux de toi.,fra
J'aurais fait exactement comme tu as fait.,fra
L'affichage publicitaire est une véritable pollution visuelle.,fra
Je l'aimais vraiment.,fra
Entre dans la chambre après moi.,fra
Tom était assis dans mon fauteuil favori.,fra
Le magasin a fermé à cinq heures.,fra
Croyez-vous vraiment que Tom est prêt ?,fra
On ne peut désirer ce qu'on ne connait pas.,fra
C'est un jeune adolescent impressionnable.,fra
"Tu ne comprends pas ce qui se passe, non?",fra
J'en ai fini avec mes corvées.,fra
Et comment pensez-vous me payer ?,fra
Vous avez travaillé à la perfection.,fra
Aucun devoir n'est plus impératif que de dire merci.,fra
Savez-vous écrire le kabyle ?,fra
Ne vous en faites pas ! Nous penserons à tout.,fra
"Reste en ligne un instant, je te prie.",fra
Les tentures ont été retirées.,fra
Savez-vous où c'est ?,fra
Je veux une chemise.,fra
Je ne peux pas supporter de te regarder.,fra
"Excusez ma rudesse, s'il vous plaît.",fra
Il ne s'est pas lavé à l'eau froide.,fra
"Aujourd'hui, j'ai vu une star.",fra
Puis-je payer mes factures ?,fra
Ils ont tous les deux dit qu'ils viendraient.,fra
"Voyant le noble feu qui brûle dans leur sein : / "" Cœurs généreux, hélas ! et généreux en vain, / vous le voyez : la flamme en tous lieux se déploie ; / comme nous asservis, les faibles dieux de Troie / de leurs temples brûlants ont quitté les autels. / Les dieux nous ont trahis ; et nous, faibles mortels, / nous secourons des murs qu'ils ne purent défendre ! / Qu'importe, amis ? mourons dans nos remparts en cendre, / mourons le fer en main, voilà notre devoir. """,fra
"Dans la deuxième moitié du vingtième siècle, Arnaud Desjardins a créé un pont entre les spiritualités orientales et occidentales.",fra
Elle attendra.,fra
Voulez-vous ceci ou pas ?,fra
J'ai un travail pour lui.,fra
Son nom nous est bien connu.,fra
Combien de temps dois-je rester ici ?,fra
Le prêtre sacre le nouveau roi.,fra
Dirigeons-nous vers ce grand arbre.,fra
Il y a peu de chance qu'il arrive à l'heure.,fra
Vous imaginez-vous que les représentants de la loi n'ont rien d'autre à faire que d'arrêter des innocents ?,fra
Les pourparlers se sont déroulés à huis clos.,fra
Ça prend des heures.,fra
Cette eau facilite le transit.,fra
Qui sait ce qui nous arrivera demain ?,fra
Je ne parle pas bien le néerlandais.,fra
"Enfin, ça y est !",fra
"L'aigle étendit les ailes, prêt à s'envoler.",fra
Les villageois étaient convaincus que la série de meurtres était liée à un culte satanique.,fra
Je suis passionné par la connaissance d'autres langues.,fra
Je le ferai la semaine prochaine.,fra
Je pense que j'en ai vu assez.,fra
"Ce n'est pas amusant, c'est ennuyeux.",fra
Mon adresse électronique est hans@karlolo.net.,fra
Elle a paniqué quand on l'a embrassée.,fra
Comment décrire la littérature américaine en quelques mots ?,fra
Le stade est adjacent à l'école.,fra
Vous serez toujours bienvenu.,fra
Le joueur avec les pièces noires a de nombreuses options pour répondre à 1. e4.,fra
"La santé n'est pas tout, mais sans la santé, tout n'est rien.",fra
Vous allez commencer.,fra
Jette un œil à la maison avec un toit rouge.,fra
J'espère que le décalage horaire ne va pas trop perturber mon cycle de sommeil.,fra
Son petit copain était vraiment en colère après elle.,fra
Pouvez-vous traduire ?,fra
Un chien m'a mordu ce matin.,fra
Le système éducatif français actuel produit essentiellement des cancres.,fra
Je l'ai trouvée en train d'agoniser.,fra
L'Algérie devrait devenir une exportatrice de produits de base.,fra
Je connais une personne qui sait bien parler russe.,fra
Mon copain actuel est incroyablement patient avec moi.,fra
"Aujourd'hui, c'est mercredi.",fra
Le site n'est plus disponible.,fra
Je veux savoir qui l'a commencée.,fra
"Un buffet est un meuble de salle à manger long, bas et aplati, généralement en bois, utilisé pour ranger de la vaisselle en porcelaine et du linge de table.",fra
Elles n'arrivent pas à y croire.,fra
Tom a craché un peu de sang.,fra
"Le bulletin météo a annoncé qu'il pleuvrait cette après-midi, mais je ne le pense pas.",fra
Toutes les élèves doivent porter le même uniforme.,fra
À quand remonte la dernière fois que tu as porté des bottes ?,fra
Je suis superficielle.,fra
C'était le pire film que j'ai jamais vu.,fra
"Vous étiez très, très nul.",fra
